year,country,party,vote,seat,family,lrgen,galtan,country_name,econ_ideology,social_ideology
2024,1,LE,6.77,9.3000002,4,5.55555534362793,5.75,Belgium,0.11111106872558593,0.15
2024,1,Groen,4.65,4.0,7,2.5,1.600000023841858,Belgium,-0.5,-0.6799999952316285
2024,1,Ecolo,2.93,2.0,7,2.444444417953491,1.555555582046509,Belgium,-0.5111111164093017,-0.6888888835906982
2024,1,VB,13.77,13.3,1,9.199999809265137,8.899999618530273,Belgium,0.8399999618530274,0.7799999237060546
2024,1,CD&V,7.98,7.3000002,4,5.699999809265137,6.800000190734863,Belgium,0.13999996185302735,0.3600000381469727
2024,1,DeFl,1.2,0.69999999,8,6.0,3.75,Belgium,0.2,-0.25
2024,1,Open Vld,5.45,4.6999998,3,6.333333492279053,3.0,Belgium,0.26666669845581054,-0.4
2024,1,Vooruit,8.11,8.6999998,5,4.300000190734863,3.099999904632568,Belgium,-0.13999996185302735,-0.3800000190734864
2024,1,MR,10.26,13.3,3,7.44444465637207,5.222222328186035,Belgium,0.4888889312744141,0.04444446563720703
2024,1,PVDA-PTB,9.86,10.0,6,0.800000011920929,3.200000047683716,Belgium,-0.8399999976158142,-0.3599999904632568
2024,1,NVA,16.71,16.0,8,7.5,7.099999904632568,Belgium,0.5,0.4199999809265137
2024,1,PS,8.04,10.7,5,2.555555582046509,2.777777671813965,Belgium,-0.48888888359069826,-0.444444465637207
1999,2,V,24.0,23.5,3,7.142857074737549,5.599999904632568,Denmark,0.4285714149475098,0.11999998092651368
1999,2,SF,7.6,7.3000002,6,2.285714387893677,2.599999904632568,Denmark,-0.5428571224212646,-0.48000001907348644
1999,2,CD,4.3,4.5,3,5.571428775787354,6.199999809265137,Denmark,0.11428575515747089,0.23999996185302735
1999,2,KF,8.9,8.8999996,2,7.142857074737549,6.0,Denmark,0.4285714149475098,0.2
1999,2,SD,35.9,35.200001,5,3.857142925262451,5.0,Denmark,-0.22857141494750977,0.0
1999,2,KRF,2.4,2.2,10,5.428571224212646,5.400000095367432,Denmark,0.08571424484252912,0.08000001907348633
1999,2,EL,2.70000004768372,2.8,6,1.0,2.333333253860474,Denmark,-0.8,-0.5333333492279052
1999,2,RV,3.9,3.9000001,3,5.0,3.400000095367432,Denmark,0.0,-0.3199999809265136
1999,2,DF,7.4,7.3000002,1,8.857142448425293,8.0,Denmark,0.7714284896850586,0.6
1999,2,FP,2.4,2.2,1,9.285714149475098,7.599999904632568,Denmark,0.8571428298950196,0.5199999809265137
2002,2,DF,12.4,12.3,1,8.85,8.92,Denmark,0.7699999999999999,0.784
2002,2,SF,6.4,6.6999998,6,2.31,2.15,Denmark,-0.538,-0.5700000000000001
2002,2,V,31.3,31.200001,3,7.38,4.85,Denmark,0.476,-0.030000000000000072
