econ_ideology,social_ideology,partisan_lean,partisan_strength,turnout_propensity,gender,educ,race,urban_rural
-1.0,0.15990807004066127,-1.0,1.0,0.97,2,4,1,1
0.0,0.6039628453962901,0.6666666666666666,0.6666666666666666,0.97,2,3,1,2
0.5,0.037339562551368215,-0.6666666666666666,0.6666666666666666,0.97,1,3,1,2
1.0,-0.09097741371053862,1.0,1.0,0.97,1,5,3,1
0.0,1.0,0.0,0.0,0.92,2,3,4,1
-0.5,-0.7302962595574998,-0.3333333333333333,0.3333333333333333,0.97,1,5,2,2
-0.5,-0.2852847246626079,-1.0,1.0,0.97,2,4,1,3
0.0,-0.9472948138821462,-0.3333333333333333,0.3333333333333333,0.91,1,5,4,1
-0.5,0.2509459380954872,0.0,0.0,0.81,2,5,1,2
1.0,-0.6776101423827726,1.0,1.0,0.97,2,3,1,4
0.5,0.12464260613404587,0.3333333333333333,0.3333333333333333,0.78,1,3,1,4
0.5,-0.1297439728634321,0.6666666666666666,0.6666666666666666,0.97,2,4,1,2
-1.0,-0.7083819289301659,-1.0,1.0,0.97,2,6,3,2
0.5,0.28730551105388685,0.3333333333333333,0.3333333333333333,0.97,1,4,1,2
0.0,0.2998729508858422,-1.0,1.0,0.97,1,1,1,4
0.5,-0.8181092859819421,0.3333333333333333,0.3333333333333333,0.97,2,5,1,4
