econ_ideology,social_ideology,partisan_lean,partisan_strength,turnout_propensity,gender,educ,race,urban_rural
0.0,-1.0,-0.3333333333333333,0.3333333333333333,0.97,1,6,1,5
-1.0,-0.9091564586761528,-0.3333333333333333,0.3333333333333333,0.39999999999999997,2,3,1,3
0.0,1.0,-1.0,1.0,0.97,2,3,1,1
0.5,-0.5152314876844554,0.6666666666666666,0.6666666666666666,0.5299999999999999,1,2,1,4
0.0,-0.12508829747968347,0.0,0.0,0.93,1,4,1,4
0.0,1.0,0.0,0.0,0.44,2,2,1,4
0.5,1.0,1.0,1.0,0.97,1,1,1,1
0.5,1.0,0.3333333333333333,0.3333333333333333,0.97,1,3,4,1
0.5,-0.5917035119095473,1.0,1.0,0.57,1,2,6,4
0.5,-0.2197906639296551,1.0,1.0,0.97,1,5,1,2
1.0,0.6378059672625414,0.3333333333333333,0.3333333333333333,0.97,2,2,1,2
-1.0,0.7505842278412711,-1.0,1.0,0.89,1,2,1,1
0.0,1.0,-1.0,1.0,0.97,2,1,2,2
0.5,-0.3697745943338394,0.6666666666666666,0.6666666666666666,0.5299999999999999,2,5,1,1
0.5,0.7888098904898604,0.6666666666666666,0.6666666666666666,0.97,1,1,1,3
-0.5,1.0,-1.0,1.0,0.97,2,2,1,2
0.5,-0.3571624218553076,0.0,0.0,0.44999999999999996,1,2,1,4
0.0,0.8460427637833264,0.3333333333333333,0.3333333333333333,0.97,1,4,1,2
-1.0,0.6256970267932944,0.6666666666666666,0.6666666666666666,0.97,1,2,1,1
0.0,0.36114308602270423,-0.3333333333333333,0.3333333333333333,0.97,1,4,1,3
1.0,-1.0,1.0,1.0,0.97,1,4,1,4
-0.5,1.0,0.0,0.0,0.36,2,2,3,1
-1.0,0.09962598722718044,-1.0,1.0,0.97,2,4,1,1
0.0,-0.3056993390504236,0.6666666666666666,0.6666666666666666,0.88,1,5,1,1
0.0,-0.12648619308431527,-1.0,1.0,0.97,1,5,1,2
-1.0,-0.6039006042491485,-0.3333333333333333,0.3333333333333333,0.8200000000000001,3,5,1,4
0.5,0.5601137615650457,0.6666666666666666,0.6666666666666666,0.92,2,4,1,2
-0.5,1.0,1.0,1.0,0.91,1,1,4,1
0.5,0.6342169304139784,1.0,1.0,0.57,2,1,1,4
-0.5,-0.4757467589301624,-0.3333333333333333,0.3333333333333333,0.97,2,4,1,2
-0.5,-0.5857457176389526,-0.3333333333333333,0.3333333333333333,0.97,1,4,1,2
1.0,-1.0,1.0,1.0,0.97,1,6,1,2
0.0,-1.0,-1.0,1.0,0.97,2,6,1,2
-0.5,0.9703523378702061,-1.0,1.0,0.97,2,3,3,1
-0.5,-1.0,-0.6666666666666666,0.6666666666666666,0.97,2,3,1,3
1.0,0.875077223842662,1.0,1.0,0.97,2,2,3,2
0.0,1.0,0.0,0.0,0.74,1,3,1,1
-0.5,-0.3802544463169097,-0.3333333333333333,0.3333333333333333,0.97,2,5,1,3
0.0,-0.4324933137711498,0.6666666666666666,0.6666666666666666,0.96,1,5,2,1
0.5,0.5879861676796698,0.0,0.0,0.93,1,2,1,1
0.5,-0.7880689680143914,0.6666666666666666,0.6666666666666666,0.97,1,6,4,2
0.0,0.10458066830123855,0.3333333333333333,0.3333333333333333,0.48999999999999994,1,2,3,1
0.5,-0.3864283020059894,0.6666666666666666,0.6666666666666666,0.97,1,5,1,3
-1.0,0.7271186326346877,-1.0,1.0,0.97,2,3,2,1
0.5,1.0,0.3333333333333333,0.3333333333333333,0.97,1,3,1,1
-0.5,-1.0,-1.0,1.0,0.97,1,5,1,1
-0.5,-0.5473963808014441,-1.0,1.0,0.97,1,6,2,2
0.5,-0.4797971742490404,1.0,1.0,0.97,2,3,1,4
0.0,0.7857163188461688,0.6666666666666666,0.6666666666666666,0.5299999999999999,2,1,1,3
1.0,-1.0,1.0,1.0,0.97,1,5,1,2
-0.5,-0.716695404144059,-1.0,1.0,0.97,2,6,4,2
0.0,1.0,0.0,0.0,0.93,1,2,1,2
0.0,0.3299749543175333,0.3333333333333333,0.3333333333333333,0.97,1,6,1,1
0.5,-0.5001856328044656,0.6666666666666666,0.6666666666666666,0.97,2,6,1,2
-0.5,-0.43706779956627395,1.0,1.0,0.97,2,5,4,1
-0.5,-1.0,-1.0,1.0,0.97,2,5,1,3
1.0,-0.30144760063515696,1.0,1.0,0.97,1,3,1,2
-1.0,1.0,-0.6666666666666666,0.6666666666666666,0.97,2,2,1,1
-1.0,0.008541971567582799,-1.0,1.0,0.97,2,3,1,2
1.0,1.0,1.0,1.0,0.97,1,4,1,1
-0.5,-0.27157011901562667,-0.3333333333333333,0.3333333333333333,0.97,2,5,1,2
-0.5,1.0,-1.0,1.0,0.97,1,3,2,1
0.5,-0.6483016116313385,1.0,1.0,0.97,1,4,1,3
-1.0,0.7641148491653189,-1.0,1.0,0.57,2,3,1,2
0.5,0.4090557269812931,0.6666666666666666,0.6666666666666666,0.5299999999999999,1,3,1,2
-1.0,1.0,-0.3333333333333333,0.3333333333333333,0.48999999999999994,2,2,1,1
1.0,1.0,1.0,1.0,0.92,2,2,1,1
0.0,-0.5026207721018197,-0.6666666666666666,0.6666666666666666,0.97,1,3,3,4
0.5,-1.0,0.3333333333333333,0.3333333333333333,0.97,2,6,1,4
0.0,-0.5942731538686762,0.0,0.0,0.93,2,4,2,4
-0.5,-1.0,-1.0,1.0,0.97,2,6,1,2
0.0,1.0,0.0,0.0,0.86,1,2,1,2
-1.0,0.6009458817169229,0.0,0.0,0.93,2,3,1,1
-0.5,-0.760137588860295,-1.0,1.0,0.97,2,5,2,1
-0.5,1.0,-0.6666666666666666,0.6666666666666666,0.97,2,2,1,3
-1.0,1.0,-1.0,1.0,0.97,2,2,2,2
-0.5,-0.0832014346894683,-1.0,1.0,0.55,1,5,1,2
0.0,-1.0,0.0,0.0,0.93,1,6,1,2
1.0,-0.7050020423044813,1.0,1.0,0.97,2,5,1,2
-0.5,1.0,-0.3333333333333333,0.3333333333333333,0.97,2,1,1,2
1.0,0.35165556528884306,0.6666666666666666,0.6666666666666666,0.85,2,1,3,4
0.5,-0.3370891170254128,0.6666666666666666,0.6666666666666666,0.97,2,3,1,3
1.0,-0.4083403718211107,0.3333333333333333,0.3333333333333333,0.97,1,5,3,4
0.0,-0.632474787338858,-0.6666666666666666,0.6666666666666666,0.9,1,6,1,1
0.5,1.0,0.6666666666666666,0.6666666666666666,0.5299999999999999,2,2,4,2
0.5,-0.2570088825464474,1.0,1.0,0.44999999999999996,1,2,1,3
-0.5,0.6892909962792237,-1.0,1.0,0.97,1,3,2,2
0.5,1.0,0.0,0.0,0.44999999999999996,1,2,1,2
0.0,1.0,0.0,0.0,0.77,1,2,4,1
0.0,-0.2638342767567597,-0.6666666666666666,0.6666666666666666,0.97,1,5,1,1
1.0,-0.0757541681403157,1.0,1.0,0.97,1,1,1,4
-0.5,1.0,-1.0,1.0,0.97,1,3,1,1
0.0,-0.9517105023932512,-1.0,1.0,0.97,1,5,1,2
-0.5,-0.5970841623308706,-1.0,1.0,0.97,1,5,1,2
-1.0,-0.23108670988743563,-0.3333333333333333,0.3333333333333333,0.97,1,3,1,2
1.0,1.0,1.0,1.0,0.97,2,1,1,2
-0.5,-0.8451777508175934,-0.6666666666666666,0.6666666666666666,0.97,2,6,1,3
0.5,0.03863536597962499,0.3333333333333333,0.3333333333333333,0.97,2,2,1,4
0.0,0.2933476047602762,0.0,0.0,0.44999999999999996,1,2,1,2
1.0,0.8016224130389411,0.0,0.0,0.87,2,3,3,3
0.5,-0.7394573846976177,1.0,1.0,0.97,1,5,1,2
-1.0,0.2589091431119015,-0.3333333333333333,0.3333333333333333,0.97,1,3,1,1
-1.0,-1.0,-1.0,1.0,0.97,1,6,4,2
0.5,-1.0,0.6666666666666666,0.6666666666666666,0.97,1,4,1,4
0.0,-0.3466852755126531,0.0,0.0,0.92,1,3,1,2
0.0,0.9944593172478075,0.3333333333333333,0.3333333333333333,0.97,1,2,6,1
1.0,-0.03611086670272849,1.0,1.0,0.97,1,3,1,4
